phone_name,    input_format,consider_exact_values_of_frequency , populate_inputs_to_considere_thread_combinations_on_same_socket, maximum_number_of_combination, Lamda or kernel ridge coef,search_ridge_coeff,search_strategy,number_of_iteration_during_exploration,l_o_o_on_alpha_exploration,ltolerance,lambda_min,max_iterations,sequential_gap,dichotomic_progression_ratio,standartize_inputs,R2_score,energy_gap,number_of_neighbours,X_format_in_model
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.0001,False,----,0,9415743.8,9415743.8,0.000000001,100,0.00001,100,False,0.134567072912711,,,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.0001,False,----,0,9415743.8,9415743.8,0.000000001,100,0.00001,100,False,0.134567072912711,,,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.0001,False,----,0,9415743.8,9415743.8,0.000000001,100,0.00001,100,False,0.134567072912711,,,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,1,True,dichotomic,0,9415743.8,9415743.8,0.000000001,100,0.00001,100,False,0.16834369594003,,,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,1,True,dichotomic,0,9415743.8,9415743.8,0.000000001,100,0.00001,100,False,0.16834369594003,,,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,1,True,dichotomic,0,4.9075737E-22,4.9075737E-22,0.000000001,100,0.00001,100,False,0.16834369594003,,,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,1,True,dichotomic,0,4.9075737E-22,4.9075737E-22,0.000000001,100,0.00001,100,False,0.16834369594003,,,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,1,True,dichotomic,0,4.9075737E-22,4.9075737E-22,0.000000001,100,0.00001,100,False,0.16834369594003,,,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.01000000099,True,dichotomic,1,1.68075820672381E-21,2E-22,0.000000001,100,0.00001,100,False,0.270989782926357,,,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.0199000009801,True,dichotomic,2,1.60541745792229E-21,1E-22,0.000000001,100,0.00001,100,False,0.286630285231005,,,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.029701000970299,True,dichotomic,3,1.57009733719002E-21,1E-23,0.000000001,100,0.00001,100,False,0.293708239610135,,,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.865572613970014,True,dichotomic,19,1.55113136681458E-21,1E-24,0.000000001,100,0.00001,100,False,0.18133279020075,,,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.865572613970014,True,dichotomic,19,1.55113136681458E-21,1E-24,0.000000001,100,0.001,100,False,0.18133279020075,,,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.481948246736956,True,dichotomic,88,1.52306409374223E-21,1E-25,0.000000001,100,0.001,100,False,0.229272594035099,,,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,1.0285935739047,True,dichotomic,39,1.62161109948447E-21,1E-24,0.000000001,100,0.001,100,False,-0.246921181860659,,,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.001010001,True,sequential,100,2.0334407188649E-21,1E-24,0.000000001,100,0.00001,100,False,-1.12351570832079,,,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.120000001,True,sequential,11,1.50228651408446E-21,1E-24,0.000000001,1000,0.01,100,False,-0.121330133514606,,,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.0001,False,----,0,1E-24,1E-24,0.000000001,100,0.01,100,False,-2.87861096658958,,,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.376032341897197,True,dichotomic,100,1.70296367747464E-21,1E-24,0.000000001,100,0.01,100,False,-0.190965624234293,,,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.0001,False,----,0,1E-24,1E-24,0.000000001,100,0.01,100,False,-1.38123177669147,,,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.0001,False,----,0,1E-24,1E-24,0.000000001,100,0.01,100,False,-1.38123177669147,,,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.888645812880332,True,dichotomic,14,1.77070366588839E-21,1E-23,0.000000001,100,0.01,100,False,0.184903099402209,,,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.305891132788758,True,dichotomic,15,1.68771841752277E-21,1E-23,0.000000001,100,0.01,10,False,0.0913113860578413,,,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.235085172532214,True,dichotomic,19,1.67963919894126E-21,1E-24,0.000000001,100,0.01,10,False,0.0688790944062478,,,
