X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_0,frequency level of Little Socket,925163054.8466082,874121960.6927992,51041094.15380895
X_1,Core 0 state,-136779197.83898953,2507500599.9860473,2644279797.825037
X_2,Core 1 state,197308384.13765517,2213552126.0444465,2016243741.9067912
X_3,Core 2 state,459180931.0805988,1473863343.2031279,1014682412.122529
X_4,Core 3 state,-983839479.6052991,2002628825.3079872,2986468304.913286
X_5,Core 4 state,-729117795.5356593,1081065241.0019073,1810183036.5375667
X_6,Core 5 state,-1647672844.9930122,2548714587.15103,4196387432.144042
X_7,Medium Socket or core 6 frequency,976990110.3278319,1726946523.2763584,749956412.9485265
X_8,Big Socket or core 7 frequency,2263978995.1491833,968628620.8885312,1295350374.260652


 Ordered by kernel ridge coefficients, higher is better 
 X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_8,Big Socket or core 7 frequency,2263978995.1491833,968628620.8885312,1295350374.260652
X_7,Medium Socket or core 6 frequency,976990110.3278319,1726946523.2763584,749956412.9485265
X_0,frequency level of Little Socket,925163054.8466082,874121960.6927992,51041094.15380895
X_3,Core 2 state,459180931.0805988,1473863343.2031279,1014682412.122529
X_2,Core 1 state,197308384.13765517,2213552126.0444465,2016243741.9067912
X_1,Core 0 state,-136779197.83898953,2507500599.9860473,2644279797.825037
X_5,Core 4 state,-729117795.5356593,1081065241.0019073,1810183036.5375667
X_4,Core 3 state,-983839479.6052991,2002628825.3079872,2986468304.913286
X_6,Core 5 state,-1647672844.9930122,2548714587.15103,4196387432.144042


 Ordered by linear regression coefficients, higher is better 
X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_6,Core 5 state,-1647672844.9930122,2548714587.15103,4196387432.144042
X_1,Core 0 state,-136779197.83898953,2507500599.9860473,2644279797.825037
X_2,Core 1 state,197308384.13765517,2213552126.0444465,2016243741.9067912
X_4,Core 3 state,-983839479.6052991,2002628825.3079872,2986468304.913286
X_7,Medium Socket or core 6 frequency,976990110.3278319,1726946523.2763584,749956412.9485265
X_3,Core 2 state,459180931.0805988,1473863343.2031279,1014682412.122529
X_5,Core 4 state,-729117795.5356593,1081065241.0019073,1810183036.5375667
X_8,Big Socket or core 7 frequency,2263978995.1491833,968628620.8885312,1295350374.260652
X_0,frequency level of Little Socket,925163054.8466082,874121960.6927992,51041094.15380895


 Ordered by absolute difference, between kernel ridge, and linear coefficients, the first has the maximum non linearity variation  
X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_6,Core 5 state,-1647672844.9930122,2548714587.15103,4196387432.144042
X_4,Core 3 state,-983839479.6052991,2002628825.3079872,2986468304.913286
X_1,Core 0 state,-136779197.83898953,2507500599.9860473,2644279797.825037
X_2,Core 1 state,197308384.13765517,2213552126.0444465,2016243741.9067912
X_5,Core 4 state,-729117795.5356593,1081065241.0019073,1810183036.5375667
X_8,Big Socket or core 7 frequency,2263978995.1491833,968628620.8885312,1295350374.260652
X_3,Core 2 state,459180931.0805988,1473863343.2031279,1014682412.122529
X_7,Medium Socket or core 6 frequency,976990110.3278319,1726946523.2763584,749956412.9485265
X_0,frequency level of Little Socket,925163054.8466082,874121960.6927992,51041094.15380895
