X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_0,frequency level of Little Socket,-2.5774398293650845e-12,1.1040207921748256e-11,1.361764775111334e-11
X_1,Core 0 state,-4.9948888477191684e-11,2.8812756972583832e-11,7.876164544977551e-11
X_2,Core 1 state,-5.090372995855651e-11,1.8133141146609993e-11,6.90368711051665e-11
X_3,Core 2 state,-4.6146336022799555e-11,6.583476769827928e-12,5.2729812792627485e-11
X_4,Core 3 state,4.743368091083977e-12,1.9293486055356783e-11,1.4550117964272805e-11
X_5,Core 4 state,-2.728703677050552e-11,8.904817324580415e-12,3.6191854095085934e-11
X_6,Core 5 state,-1.5751405561744012e-11,6.674321161359423e-12,2.2425726723103435e-11
X_7,frequency level of Medium Socket or core 6,-3.438529543169127e-11,5.345267503213925e-12,3.973056293490519e-11
X_8,frequency level of Big Socket or core 7,-3.939173241456867e-11,-9.748296191198446e-13,3.8416902795448824e-11


 Ordered by kernel ridge coefficients, lawest is better 
 X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_2,Core 1 state,-5.090372995855651e-11,1.8133141146609993e-11,6.90368711051665e-11
X_1,Core 0 state,-4.9948888477191684e-11,2.8812756972583832e-11,7.876164544977551e-11
X_3,Core 2 state,-4.6146336022799555e-11,6.583476769827928e-12,5.2729812792627485e-11
X_8,frequency level of Big Socket or core 7,-3.939173241456867e-11,-9.748296191198446e-13,3.8416902795448824e-11
X_7,frequency level of Medium Socket or core 6,-3.438529543169127e-11,5.345267503213925e-12,3.973056293490519e-11
X_5,Core 4 state,-2.728703677050552e-11,8.904817324580415e-12,3.6191854095085934e-11
X_6,Core 5 state,-1.5751405561744012e-11,6.674321161359423e-12,2.2425726723103435e-11
X_0,frequency level of Little Socket,-2.5774398293650845e-12,1.1040207921748256e-11,1.361764775111334e-11
X_4,Core 3 state,4.743368091083977e-12,1.9293486055356783e-11,1.4550117964272805e-11


 Ordered by linear regression coefficients, lawest is better 
X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_8,frequency level of Big Socket or core 7,-3.939173241456867e-11,-9.748296191198446e-13,3.8416902795448824e-11
X_7,frequency level of Medium Socket or core 6,-3.438529543169127e-11,5.345267503213925e-12,3.973056293490519e-11
X_3,Core 2 state,-4.6146336022799555e-11,6.583476769827928e-12,5.2729812792627485e-11
X_6,Core 5 state,-1.5751405561744012e-11,6.674321161359423e-12,2.2425726723103435e-11
X_5,Core 4 state,-2.728703677050552e-11,8.904817324580415e-12,3.6191854095085934e-11
X_0,frequency level of Little Socket,-2.5774398293650845e-12,1.1040207921748256e-11,1.361764775111334e-11
X_2,Core 1 state,-5.090372995855651e-11,1.8133141146609993e-11,6.90368711051665e-11
X_4,Core 3 state,4.743368091083977e-12,1.9293486055356783e-11,1.4550117964272805e-11
X_1,Core 0 state,-4.9948888477191684e-11,2.8812756972583832e-11,7.876164544977551e-11


 Ordered by absolute difference, between kernel ridge, and linear coefficients, the first has the maximum non linearity variation  
X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_1,Core 0 state,-4.9948888477191684e-11,2.8812756972583832e-11,7.876164544977551e-11
X_2,Core 1 state,-5.090372995855651e-11,1.8133141146609993e-11,6.90368711051665e-11
X_3,Core 2 state,-4.6146336022799555e-11,6.583476769827928e-12,5.2729812792627485e-11
X_7,frequency level of Medium Socket or core 6,-3.438529543169127e-11,5.345267503213925e-12,3.973056293490519e-11
X_8,frequency level of Big Socket or core 7,-3.939173241456867e-11,-9.748296191198446e-13,3.8416902795448824e-11
X_5,Core 4 state,-2.728703677050552e-11,8.904817324580415e-12,3.6191854095085934e-11
X_6,Core 5 state,-1.5751405561744012e-11,6.674321161359423e-12,2.2425726723103435e-11
X_4,Core 3 state,4.743368091083977e-12,1.9293486055356783e-11,1.4550117964272805e-11
X_0,frequency level of Little Socket,-2.5774398293650845e-12,1.1040207921748256e-11,1.361764775111334e-11
