Little core frequency level, Core 0 state, 1, 2, 3, 4, 5, Core 6 level, core 7 level, 
2, 1, 0, 0, 0, 0, 0, 3, 1,
0, 0, 1, 1, 1, 1, 1, 3, 3,
1, 1, 1, 1, 0, 0, 1, 0, 0,
2, 0, 0, 1, 1, 1, 0, 3, 2,
0, 0, 1, 1, 0, 1, 1, 3, 2,
0, 0, 1, 0, 0, 1, 0, 1, 0,
2, 1, 1, 1, 1, 0, 0, 3, 2,
0, 1, 1, 0, 0, 0, 1, 2, 3,
1, 0, 1, 1, 1, 0, 1, 2, 3,
0, 0, 1, 1, 0, 1, 0, 3, 2,
1, 1, 1, 0, 1, 1, 1, 2, 3,
2, 0, 1, 0, 0, 0, 1, 0, 0,
2, 0, 1, 0, 1, 1, 0, 3, 3,
2, 1, 0, 0, 0, 1, 1, 3, 2,
1, 1, 0, 0, 1, 1, 1, 3, 2,
2, 1, 1, 1, 0, 1, 1, 0, 0,
0, 1, 0, 1, 1, 1, 0, 1, 0,
0, 0, 0, 1, 1, 1, 1, 1, 0,
2, 1, 0, 0, 1, 0, 1, 0, 0,
1, 1, 0, 1, 0, 0, 0, 3, 3,
2, 0, 1, 1, 0, 0, 0, 1, 0,
0, 0, 1, 1, 0, 1, 1, 1, 0,
2, 0, 0, 1, 0, 0, 0, 3, 3,
2, 0, 0, 1, 1, 0, 0, 2, 0,
2, 0, 1, 1, 1, 1, 0, 3, 2,
1, 1, 1, 1, 1, 1, 1, 0, 0,
2, 1, 0, 1, 0, 0, 0, 3, 1,
1, 1, 0, 1, 0, 1, 1, 3, 3,
2, 0, 0, 0, 1, 1, 1, 2, 3,
2, 1, 0, 1, 1, 1, 0, 0, 0,
1, 1, 1, 1, 0, 1, 1, 3, 3,
0, 0, 0, 1, 0, 1, 1, 1, 0,
2, 1, 1, 0, 0, 1, 0, 3, 2,
1, 1, 0, 1, 0, 1, 0, 3, 3,
2, 0, 1, 1, 1, 1, 1, 3, 3,
0, 0, 0, 1, 0, 1, 0, 1, 0,
2, 1, 1, 1, 0, 1, 0, 3, 2,
0, 1, 1, 1, 1, 0, 1, 0, 0,
2, 1, 1, 0, 1, 1, 0, 3, 3,
0, 1, 0, 0, 0, 1, 0, 1, 0,
1, 1, 1, 0, 0, 1, 1, 3, 2,
2, 1, 0, 0, 1, 0, 0, 1, 0,
0, 1, 0, 0, 0, 1, 1, 0, 0,
1, 0, 1, 0, 0, 0, 1, 2, 3,
0, 1, 1, 0, 1, 1, 1, 0, 0,
1, 0, 1, 1, 1, 1, 1, 0, 0,
2, 1, 1, 1, 1, 1, 1, 1, 3,
1, 1, 1, 0, 1, 1, 0, 0, 0,
2, 1, 0, 1, 1, 1, 1, 0, 0,
0, 1, 0, 0, 0, 0, 0, 1, 0,
2, 0, 1, 1, 0, 1, 1, 1, 3,
