X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_0,Little Socket frequency is freed,-774484776.604587,485949053.64931697,1260433830.2539039
X_1,frequency level of Little Socket,709664705.8942602,910850942.7107947,201186236.81653452
X_2,Core 0 state,-575843842.6594156,1972455398.7066677,2548299241.366083
X_3,Core 1 state,-1025520149.3504934,2337460937.7886534,3362981087.139147
X_4,Core 2 state,-624203789.2040588,1710401358.936517,2334605148.140576
X_5,Core 3 state,-502995479.65350074,1454043703.8090086,1957039183.4625094
X_6,Core 4 state,-468968338.5357876,1452426118.4873626,1921394457.0231502
X_7,Core 5 state,-2932515400.1921787,2407634442.091695,5340149842.283874
X_8,Medium Socket frequency is freed,-1332060403.7619264,-5057871936.939573,3725811533.1776466
X_9,Medium Socket or core 6 frequency,1110122156.710036,2675132201.30927,1565010044.5992339
X_10,Big Socket frequency is freed,-132687811.74030456,-814434960.5632627,681747148.8229581
X_11,Big Socket or core 7 frequency,-977553068.5088807,406260661.6733418,1383813730.1822226


 Ordered by kernel ridge coefficients, highest is better 
 X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_9,Medium Socket or core 6 frequency,1110122156.710036,2675132201.30927,1565010044.5992339
X_1,frequency level of Little Socket,709664705.8942602,910850942.7107947,201186236.81653452
X_10,Big Socket frequency is freed,-132687811.74030456,-814434960.5632627,681747148.8229581
X_6,Core 4 state,-468968338.5357876,1452426118.4873626,1921394457.0231502
X_5,Core 3 state,-502995479.65350074,1454043703.8090086,1957039183.4625094
X_2,Core 0 state,-575843842.6594156,1972455398.7066677,2548299241.366083
X_4,Core 2 state,-624203789.2040588,1710401358.936517,2334605148.140576
X_0,Little Socket frequency is freed,-774484776.604587,485949053.64931697,1260433830.2539039
X_11,Big Socket or core 7 frequency,-977553068.5088807,406260661.6733418,1383813730.1822226
X_3,Core 1 state,-1025520149.3504934,2337460937.7886534,3362981087.139147
X_8,Medium Socket frequency is freed,-1332060403.7619264,-5057871936.939573,3725811533.1776466
X_7,Core 5 state,-2932515400.1921787,2407634442.091695,5340149842.283874


 Ordered by linear regression coefficients, highest is better 
X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_9,Medium Socket or core 6 frequency,1110122156.710036,2675132201.30927,1565010044.5992339
X_7,Core 5 state,-2932515400.1921787,2407634442.091695,5340149842.283874
X_3,Core 1 state,-1025520149.3504934,2337460937.7886534,3362981087.139147
X_2,Core 0 state,-575843842.6594156,1972455398.7066677,2548299241.366083
X_4,Core 2 state,-624203789.2040588,1710401358.936517,2334605148.140576
X_5,Core 3 state,-502995479.65350074,1454043703.8090086,1957039183.4625094
X_6,Core 4 state,-468968338.5357876,1452426118.4873626,1921394457.0231502
X_1,frequency level of Little Socket,709664705.8942602,910850942.7107947,201186236.81653452
X_0,Little Socket frequency is freed,-774484776.604587,485949053.64931697,1260433830.2539039
X_11,Big Socket or core 7 frequency,-977553068.5088807,406260661.6733418,1383813730.1822226
X_10,Big Socket frequency is freed,-132687811.74030456,-814434960.5632627,681747148.8229581
X_8,Medium Socket frequency is freed,-1332060403.7619264,-5057871936.939573,3725811533.1776466


 Ordered by absolute difference, between kernel ridge, and linear coefficients, the first has the maximum non linearity variation  
X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_7,Core 5 state,-2932515400.1921787,2407634442.091695,5340149842.283874
X_8,Medium Socket frequency is freed,-1332060403.7619264,-5057871936.939573,3725811533.1776466
X_3,Core 1 state,-1025520149.3504934,2337460937.7886534,3362981087.139147
X_2,Core 0 state,-575843842.6594156,1972455398.7066677,2548299241.366083
X_4,Core 2 state,-624203789.2040588,1710401358.936517,2334605148.140576
X_5,Core 3 state,-502995479.65350074,1454043703.8090086,1957039183.4625094
X_6,Core 4 state,-468968338.5357876,1452426118.4873626,1921394457.0231502
X_9,Medium Socket or core 6 frequency,1110122156.710036,2675132201.30927,1565010044.5992339
X_11,Big Socket or core 7 frequency,-977553068.5088807,406260661.6733418,1383813730.1822226
X_0,Little Socket frequency is freed,-774484776.604587,485949053.64931697,1260433830.2539039
X_10,Big Socket frequency is freed,-132687811.74030456,-814434960.5632627,681747148.8229581
X_1,frequency level of Little Socket,709664705.8942602,910850942.7107947,201186236.81653452
