Variable,meaning ,d_X_0 (Variation relative to Frequ_level_of_littl_Socket),asolute d_X_0
X_0,Frequ_level_of_littl_Socket,1120745746.139563,1120745746.139563
X_1,Core_0_state,28902853.74748534,28902853.74748534
X_2,Core_1_state,603808459.6353793,603808459.6353793
X_3,Core_2_state,715950309.6751084,715950309.6751084
X_4,Core_3_state,132611828.6447242,132611828.6447242
X_5,Core_4_state,486663152.57934344,486663152.57934344
X_6,Core_5_state,-124294522.30824518,124294522.30824518
X_7,Medium_Socket_State&Frequ,-825820528.8887172,825820528.8887172
X_8,Big_Socket_State&Freque,-270444718.0206267,270444718.0206267


 Ordered by value of coefficient, the first has the best positive interaction, with Frequ_level_of_littl_Socket 
 Variable,meaning ,d_X_0 (Variation relative to Frequ_level_of_littl_Socket),asolute d_X_0
X_0,Frequ_level_of_littl_Socket,1120745746.139563,1120745746.139563
X_3,Core_2_state,715950309.6751084,715950309.6751084
X_2,Core_1_state,603808459.6353793,603808459.6353793
X_5,Core_4_state,486663152.57934344,486663152.57934344
X_4,Core_3_state,132611828.6447242,132611828.6447242
X_1,Core_0_state,28902853.74748534,28902853.74748534
X_6,Core_5_state,-124294522.30824518,124294522.30824518
X_8,Big_Socket_State&Freque,-270444718.0206267,270444718.0206267
X_7,Medium_Socket_State&Frequ,-825820528.8887172,825820528.8887172


 Ordered by absolute value of coefficients,  the first has the best absolute interaction, with Frequ_level_of_littl_Socket  
 Variable,meaning ,d_X_0 (Variation relative to Frequ_level_of_littl_Socket),asolute d_X_0
X_0,Frequ_level_of_littl_Socket,1120745746.139563,1120745746.139563
X_7,Medium_Socket_State&Frequ,-825820528.8887172,825820528.8887172
X_3,Core_2_state,715950309.6751084,715950309.6751084
X_2,Core_1_state,603808459.6353793,603808459.6353793
X_5,Core_4_state,486663152.57934344,486663152.57934344
X_8,Big_Socket_State&Freque,-270444718.0206267,270444718.0206267
X_4,Core_3_state,132611828.6447242,132611828.6447242
X_6,Core_5_state,-124294522.30824518,124294522.30824518
X_1,Core_0_state,28902853.74748534,28902853.74748534
