Variable,meaning ,d_X_8 (Variation relative to Big_Socket_State&Freque),asolute d_X_8
X_0,Frequ_level_of_littl_Socket,-356112025.137704,356112025.137704
X_1,Core_0_state,1270390532.297062,1270390532.297062
X_2,Core_1_state,1117951216.6281245,1117951216.6281245
X_3,Core_2_state,1381923091.0565302,1381923091.0565302
X_4,Core_3_state,2278229008.093778,2278229008.093778
X_5,Core_4_state,-1355962903.6809785,1355962903.6809785
X_6,Core_5_state,1363692092.2610762,1363692092.2610762
X_7,Medium_Socket_State&Frequ,-1040920218.1714559,1040920218.1714559
X_8,Big_Socket_State&Freque,926905694.9604594,926905694.9604594


 Ordered by value of coefficient, the first has the best positive interaction, with Big_Socket_State&Freque 
 Variable,meaning ,d_X_8 (Variation relative to Big_Socket_State&Freque),asolute d_X_8
X_4,Core_3_state,2278229008.093778,2278229008.093778
X_3,Core_2_state,1381923091.0565302,1381923091.0565302
X_6,Core_5_state,1363692092.2610762,1363692092.2610762
X_1,Core_0_state,1270390532.297062,1270390532.297062
X_2,Core_1_state,1117951216.6281245,1117951216.6281245
X_8,Big_Socket_State&Freque,926905694.9604594,926905694.9604594
X_0,Frequ_level_of_littl_Socket,-356112025.137704,356112025.137704
X_7,Medium_Socket_State&Frequ,-1040920218.1714559,1040920218.1714559
X_5,Core_4_state,-1355962903.6809785,1355962903.6809785


 Ordered by absolute value of coefficients,  the first has the best absolute interaction, with Big_Socket_State&Freque  
 Variable,meaning ,d_X_8 (Variation relative to Big_Socket_State&Freque),asolute d_X_8
X_4,Core_3_state,2278229008.093778,2278229008.093778
X_3,Core_2_state,1381923091.0565302,1381923091.0565302
X_6,Core_5_state,1363692092.2610762,1363692092.2610762
X_5,Core_4_state,-1355962903.6809785,1355962903.6809785
X_1,Core_0_state,1270390532.297062,1270390532.297062
X_2,Core_1_state,1117951216.6281245,1117951216.6281245
X_7,Medium_Socket_State&Frequ,-1040920218.1714559,1040920218.1714559
X_8,Big_Socket_State&Freque,926905694.9604594,926905694.9604594
X_0,Frequ_level_of_littl_Socket,-356112025.137704,356112025.137704
