rank, configurations,google pixel format, model format, energy_efficiency estimated
0,222222-2-1,[2- 2- 2- 2- 2- 2- 2- 1],1-1-1-1-1-1-1-2-1,16790517900.451168
1,222222-1-1,[2- 2- 2- 2- 2- 2- 1- 1],1-1-1-1-1-1-1-1-1,16559178274.137806
2,222222-2-2,[2- 2- 2- 2- 2- 2- 2- 2],1-1-1-1-1-1-1-2-2,16289278042.622908
3,222222-2-0,[2- 2- 2- 2- 2- 2- 2- 0],1-1-1-1-1-1-1-2-0,16279950003.696903
4,022222-2-1,[0- 2- 2- 2- 2- 2- 2- 1],1-0-1-1-1-1-1-2-1,16277647962.882668
5,222022-2-1,[2- 2- 2- 0- 2- 2- 2- 1],1-1-1-1-0-1-1-2-1,16222018520.974342
6,202222-2-1,[2- 0- 2- 2- 2- 2- 2- 1],1-1-0-1-1-1-1-2-1,16180272513.537144
7,220222-2-1,[2- 2- 0- 2- 2- 2- 2- 1],1-1-1-0-1-1-1-2-1,16074080053.991615
8,333333-2-1,[3- 3- 3- 3- 3- 3- 2- 1],2-1-1-1-1-1-1-2-1,16059153790.795418
9,222222-1-2,[2- 2- 2- 2- 2- 2- 1- 2],1-1-1-1-1-1-1-1-2,16030432540.070797
10,222202-2-1,[2- 2- 2- 2- 0- 2- 2- 1],1-1-1-1-1-0-1-2-1,16013902465.08831
11,022222-1-1,[0- 2- 2- 2- 2- 2- 1- 1],1-0-1-1-1-1-1-1-1,15910162098.26434
12,333333-2-2,[3- 3- 3- 3- 3- 3- 2- 2],2-1-1-1-1-1-1-2-2,15867447382.875286
13,202222-2-2,[2- 0- 2- 2- 2- 2- 2- 2],1-1-0-1-1-1-1-2-2,15804186509.318401
14,303333-2-1,[3- 0- 3- 3- 3- 3- 2- 1],2-1-0-1-1-1-1-2-1,15803132905.443401
15,222022-2-2,[2- 2- 2- 0- 2- 2- 2- 2],1-1-1-1-0-1-1-2-2,15766585551.256481
16,022222-2-2,[0- 2- 2- 2- 2- 2- 2- 2],1-0-1-1-1-1-1-2-2,15750720642.569225
17,222022-1-1,[2- 2- 2- 0- 2- 2- 1- 1],1-1-1-1-0-1-1-1-1,15742422821.198757
18,222202-1-1,[2- 2- 2- 2- 0- 2- 1- 1],1-1-1-1-1-0-1-1-1,15738267812.292278
19,333333-1-1,[3- 3- 3- 3- 3- 3- 1- 1],2-1-1-1-1-1-1-1-1,15703084364.247005
20,333033-2-1,[3- 3- 3- 0- 3- 3- 2- 1],2-1-1-1-0-1-1-2-1,15701492865.405575
21,303333-2-2,[3- 0- 3- 3- 3- 3- 2- 2],2-1-0-1-1-1-1-2-2,15676741704.89224
22,220022-2-1,[2- 2- 0- 0- 2- 2- 2- 1],1-1-1-0-0-1-1-2-1,15664013661.855251
23,220222-2-2,[2- 2- 0- 2- 2- 2- 2- 2],1-1-1-0-1-1-1-2-2,15646866186.504238
24,222202-2-2,[2- 2- 2- 2- 0- 2- 2- 2],1-1-1-1-1-0-1-2-2,15644987659.19209
25,022022-2-1,[0- 2- 2- 0- 2- 2- 2- 1],1-0-1-1-0-1-1-2-1,15632799637.10281
26,202222-1-1,[2- 0- 2- 2- 2- 2- 1- 1],1-1-0-1-1-1-1-1-1,15631624744.365334
27,222022-2-0,[2- 2- 2- 0- 2- 2- 2- 0],1-1-1-1-0-1-1-2-0,15626787067.605694
28,333333-3-3,[3- 3- 3- 3- 3- 3- 3- 3],2-1-1-1-1-1-1-3-3,15620738326.406193
29,020222-2-1,[0- 2- 0- 2- 2- 2- 2- 1],1-0-1-0-1-1-1-2-1,15566950191.233273
30,022222-2-0,[0- 2- 2- 2- 2- 2- 2- 0],1-0-1-1-1-1-1-2-0,15565377710.358242
31,022222-1-2,[0- 2- 2- 2- 2- 2- 1- 2],1-0-1-1-1-1-1-1-2,15562079467.609816
32,022202-2-1,[0- 2- 2- 2- 0- 2- 2- 1],1-0-1-1-1-0-1-2-1,15558950748.665142
33,333303-2-1,[3- 3- 3- 3- 0- 3- 2- 1],2-1-1-1-1-0-1-2-1,15534461148.590618
34,330333-2-1,[3- 3- 0- 3- 3- 3- 2- 1],2-1-1-0-1-1-1-2-1,15533287158.978695
35,220222-1-1,[2- 2- 0- 2- 2- 2- 1- 1],1-1-1-0-1-1-1-1-1,15531409248.355785
36,333333-2-3,[3- 3- 3- 3- 3- 3- 2- 3],2-1-1-1-1-1-1-2-3,15529464341.504368
37,333333-2-0,[3- 3- 3- 3- 3- 3- 2- 0],2-1-1-1-1-1-1-2-0,15509258630.768597
38,033333-2-1,[0- 3- 3- 3- 3- 3- 2- 1],2-0-1-1-1-1-1-2-1,15500840331.8511
39,002222-2-1,[0- 0- 2- 2- 2- 2- 2- 1],1-0-0-1-1-1-1-2-1,15478488421.37318
40,222222-2-3,[2- 2- 2- 2- 2- 2- 2- 3],1-1-1-1-1-1-1-2-3,15476356245.764935
41,222222-3-1,[2- 2- 2- 2- 2- 2- 3- 1],1-1-1-1-1-1-1-3-1,15466301373.325514
42,220222-2-0,[2- 2- 0- 2- 2- 2- 2- 0],1-1-1-0-1-1-1-2-0,15457770209.098614
43,222222-3-3,[2- 2- 2- 2- 2- 2- 3- 3],1-1-1-1-1-1-1-3-3,15433814310.116972
44,200222-2-1,[2- 0- 0- 2- 2- 2- 2- 1],1-1-0-0-1-1-1-2-1,15425975034.424038
45,222222-3-0,[2- 2- 2- 2- 2- 2- 3- 0],1-1-1-1-1-1-1-3-0,15424357469.715511
46,333033-2-2,[3- 3- 3- 0- 3- 3- 2- 2],2-1-1-1-0-1-1-2-2,15411211281.393854
47,202222-1-2,[2- 0- 2- 2- 2- 2- 1- 2],1-1-0-1-1-1-1-1-2,15392469591.03347
48,222002-2-1,[2- 2- 2- 0- 0- 2- 2- 1],1-1-1-1-0-0-1-2-1,15390565014.776608
49,222222-3-2,[2- 2- 2- 2- 2- 2- 3- 2],1-1-1-1-1-1-1-3-2,15388992062.730232
50,222222-0-2,[2- 2- 2- 2- 2- 2- 0- 2],1-1-1-1-1-1-1-0-2,15384354428.129774
51,222222-0-1,[2- 2- 2- 2- 2- 2- 0- 1],1-1-1-1-1-1-1-0-1,15381475011.72781
52,333333-1-2,[3- 3- 3- 3- 3- 3- 1- 2],2-1-1-1-1-1-1-1-2,15370386593.94235
53,202222-2-0,[2- 0- 2- 2- 2- 2- 2- 0],1-1-0-1-1-1-1-2-0,15364915622.07177
