X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_0,frequency level of Little Socket,804950031.1114749,960037229.286566,155087198.17509115
X_1,Core 0 state,980835839.0704625,2408066958.2932396,1427231119.2227771
X_2,Core 1 state,196769963.6973736,2335785950.9778824,2139015987.2805088
X_3,Core 2 state,199949096.44660226,1839610449.6610882,1639661353.214486
X_4,Core 3 state,-1055545091.8896712,1898001184.39566,2953546276.2853312
X_5,Core 4 state,-1077997055.037817,1104578093.5497468,2182575148.5875635
X_6,Core 5 state,-2649113110.896522,2301656411.3766775,4950769522.273199
X_7,Medium Socket or core 6 frequency,1174454382.3769388,1649075757.8245304,474621375.44759154
X_8,Big Socket or core 7 frequency,2925145260.7683687,935318697.5003649,1989826563.268004


 Ordered by kernel ridge coefficients, higher is better 
 X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_8,Big Socket or core 7 frequency,2925145260.7683687,935318697.5003649,1989826563.268004
X_7,Medium Socket or core 6 frequency,1174454382.3769388,1649075757.8245304,474621375.44759154
X_1,Core 0 state,980835839.0704625,2408066958.2932396,1427231119.2227771
X_0,frequency level of Little Socket,804950031.1114749,960037229.286566,155087198.17509115
X_3,Core 2 state,199949096.44660226,1839610449.6610882,1639661353.214486
X_2,Core 1 state,196769963.6973736,2335785950.9778824,2139015987.2805088
X_4,Core 3 state,-1055545091.8896712,1898001184.39566,2953546276.2853312
X_5,Core 4 state,-1077997055.037817,1104578093.5497468,2182575148.5875635
X_6,Core 5 state,-2649113110.896522,2301656411.3766775,4950769522.273199


 Ordered by linear regression coefficients, higher is better 
X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_1,Core 0 state,980835839.0704625,2408066958.2932396,1427231119.2227771
X_2,Core 1 state,196769963.6973736,2335785950.9778824,2139015987.2805088
X_6,Core 5 state,-2649113110.896522,2301656411.3766775,4950769522.273199
X_4,Core 3 state,-1055545091.8896712,1898001184.39566,2953546276.2853312
X_3,Core 2 state,199949096.44660226,1839610449.6610882,1639661353.214486
X_7,Medium Socket or core 6 frequency,1174454382.3769388,1649075757.8245304,474621375.44759154
X_5,Core 4 state,-1077997055.037817,1104578093.5497468,2182575148.5875635
X_0,frequency level of Little Socket,804950031.1114749,960037229.286566,155087198.17509115
X_8,Big Socket or core 7 frequency,2925145260.7683687,935318697.5003649,1989826563.268004


 Ordered by absolute difference, between kernel ridge, and linear coefficients, the first has the maximum non linearity variation  
X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_6,Core 5 state,-2649113110.896522,2301656411.3766775,4950769522.273199
X_4,Core 3 state,-1055545091.8896712,1898001184.39566,2953546276.2853312
X_5,Core 4 state,-1077997055.037817,1104578093.5497468,2182575148.5875635
X_2,Core 1 state,196769963.6973736,2335785950.9778824,2139015987.2805088
X_8,Big Socket or core 7 frequency,2925145260.7683687,935318697.5003649,1989826563.268004
X_3,Core 2 state,199949096.44660226,1839610449.6610882,1639661353.214486
X_1,Core 0 state,980835839.0704625,2408066958.2932396,1427231119.2227771
X_7,Medium Socket or core 6 frequency,1174454382.3769388,1649075757.8245304,474621375.44759154
X_0,frequency level of Little Socket,804950031.1114749,960037229.286566,155087198.17509115
