Variable,meaning ,d_X_5 (Variation relative to frequency level of Big Socket),asolute d_X_5
X_0,frequency level of Little Socket,220233735.30721536,220233735.30721536
X_1,Core 0 state,394814097.0016166,394814097.0016166
X_2,Core 1 state,331275113.4953043,331275113.4953043
X_3,Core 2 state,171373633.01235878,171373633.01235878
X_4,Core 3 state,-9298088.488183673,9298088.488183673
X_5,frequency level of Big Socket,-760913102.4399335,760913102.4399335
X_6,Core 4 state,452233558.6880488,452233558.6880488
X_7,Core 5 state,-250015012.25161368,250015012.25161368
X_8,Core 6 state,-109850555.29466677,109850555.29466677
X_9,Core 7 state,-110556859.19428957,110556859.19428957


 Ordered by value of coefficient, the first has the best positive interaction, with frequency level of Big Socket 
 Variable,meaning ,d_X_5 (Variation relative to frequency level of Big Socket),asolute d_X_5
X_6,Core 4 state,452233558.6880488,452233558.6880488
X_1,Core 0 state,394814097.0016166,394814097.0016166
X_2,Core 1 state,331275113.4953043,331275113.4953043
X_0,frequency level of Little Socket,220233735.30721536,220233735.30721536
X_3,Core 2 state,171373633.01235878,171373633.01235878
X_4,Core 3 state,-9298088.488183673,9298088.488183673
X_8,Core 6 state,-109850555.29466677,109850555.29466677
X_9,Core 7 state,-110556859.19428957,110556859.19428957
X_7,Core 5 state,-250015012.25161368,250015012.25161368
X_5,frequency level of Big Socket,-760913102.4399335,760913102.4399335


 Ordered by absolute value of coefficients,  the first has the best absolute interaction, with frequency level of Big Socket  
 Variable,meaning ,d_X_5 (Variation relative to frequency level of Big Socket),asolute d_X_5
X_5,frequency level of Big Socket,-760913102.4399335,760913102.4399335
X_6,Core 4 state,452233558.6880488,452233558.6880488
X_1,Core 0 state,394814097.0016166,394814097.0016166
X_2,Core 1 state,331275113.4953043,331275113.4953043
X_7,Core 5 state,-250015012.25161368,250015012.25161368
X_0,frequency level of Little Socket,220233735.30721536,220233735.30721536
X_3,Core 2 state,171373633.01235878,171373633.01235878
X_9,Core 7 state,-110556859.19428957,110556859.19428957
X_8,Core 6 state,-109850555.29466677,109850555.29466677
X_4,Core 3 state,-9298088.488183673,9298088.488183673
