Variable,meaning ,d_X_8 (Variation relative to Core 6 state),asolute d_X_8
X_0,frequency level of Little Socket,214070710.76450366,214070710.76450366
X_1,Core 0 state,-194134737.72048974,194134737.72048974
X_2,Core 1 state,-764343111.3945532,764343111.3945532
X_3,Core 2 state,-594945219.9714786,594945219.9714786
X_4,Core 3 state,-461248857.1845911,461248857.1845911
X_5,frequency level of Big Socket,-623789408.2283454,623789408.2283454
X_6,Core 4 state,-943786914.3153982,943786914.3153982
X_7,Core 5 state,74177525.58414869,74177525.58414869
X_8,Core 6 state,563066645.6729268,563066645.6729268
X_9,Core 7 state,-761445589.7251753,761445589.7251753


 Ordered by value of coefficient, the first has the best positive interaction, with Core 6 state 
 Variable,meaning ,d_X_8 (Variation relative to Core 6 state),asolute d_X_8
X_8,Core 6 state,563066645.6729268,563066645.6729268
X_0,frequency level of Little Socket,214070710.76450366,214070710.76450366
X_7,Core 5 state,74177525.58414869,74177525.58414869
X_1,Core 0 state,-194134737.72048974,194134737.72048974
X_4,Core 3 state,-461248857.1845911,461248857.1845911
X_3,Core 2 state,-594945219.9714786,594945219.9714786
X_5,frequency level of Big Socket,-623789408.2283454,623789408.2283454
X_9,Core 7 state,-761445589.7251753,761445589.7251753
X_2,Core 1 state,-764343111.3945532,764343111.3945532
X_6,Core 4 state,-943786914.3153982,943786914.3153982


 Ordered by absolute value of coefficients,  the first has the best absolute interaction, with Core 6 state  
 Variable,meaning ,d_X_8 (Variation relative to Core 6 state),asolute d_X_8
X_6,Core 4 state,-943786914.3153982,943786914.3153982
X_2,Core 1 state,-764343111.3945532,764343111.3945532
X_9,Core 7 state,-761445589.7251753,761445589.7251753
X_5,frequency level of Big Socket,-623789408.2283454,623789408.2283454
X_3,Core 2 state,-594945219.9714786,594945219.9714786
X_8,Core 6 state,563066645.6729268,563066645.6729268
X_4,Core 3 state,-461248857.1845911,461248857.1845911
X_0,frequency level of Little Socket,214070710.76450366,214070710.76450366
X_1,Core 0 state,-194134737.72048974,194134737.72048974
X_7,Core 5 state,74177525.58414869,74177525.58414869
