X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_0,frequency level of Little Socket,-409689787.8515822,446659667.9972804,856349455.8488626
X_1,Core 0 state,-1270931914.0312154,1004721676.4753215,2275653590.506537
X_2,Core 1 state,-1119437208.682456,1187964289.4798267,2307401498.162283
X_3,Core 2 state,-1472399090.3438091,1158351784.8822968,2630750875.2261057
X_4,Core 3 state,-3245652712.554738,2448315523.772614,5693968236.327353
X_5,frequency level of Big Socket,-150348349.53092104,297787260.6526166,448135610.18353766
X_6,Core 4 state,-2369147979.0747814,2233420992.879535,4602568971.954317
X_7,Core 5 state,-2843271508.827311,2226591565.268679,5069863074.09599
X_8,Core 6 state,-2239005635.29848,1806750196.2093525,4045755831.5078325
X_9,Core 7 state,-2976008929.187396,2687815918.026165,5663824847.213561


 Ordered by kernel ridge coefficients, highest is better 
 X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_5,frequency level of Big Socket,-150348349.53092104,297787260.6526166,448135610.18353766
X_0,frequency level of Little Socket,-409689787.8515822,446659667.9972804,856349455.8488626
X_2,Core 1 state,-1119437208.682456,1187964289.4798267,2307401498.162283
X_1,Core 0 state,-1270931914.0312154,1004721676.4753215,2275653590.506537
X_3,Core 2 state,-1472399090.3438091,1158351784.8822968,2630750875.2261057
X_8,Core 6 state,-2239005635.29848,1806750196.2093525,4045755831.5078325
X_6,Core 4 state,-2369147979.0747814,2233420992.879535,4602568971.954317
X_7,Core 5 state,-2843271508.827311,2226591565.268679,5069863074.09599
X_9,Core 7 state,-2976008929.187396,2687815918.026165,5663824847.213561
X_4,Core 3 state,-3245652712.554738,2448315523.772614,5693968236.327353


 Ordered by linear regression coefficients, highest is better 
X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_9,Core 7 state,-2976008929.187396,2687815918.026165,5663824847.213561
X_4,Core 3 state,-3245652712.554738,2448315523.772614,5693968236.327353
X_6,Core 4 state,-2369147979.0747814,2233420992.879535,4602568971.954317
X_7,Core 5 state,-2843271508.827311,2226591565.268679,5069863074.09599
X_8,Core 6 state,-2239005635.29848,1806750196.2093525,4045755831.5078325
X_2,Core 1 state,-1119437208.682456,1187964289.4798267,2307401498.162283
X_3,Core 2 state,-1472399090.3438091,1158351784.8822968,2630750875.2261057
X_1,Core 0 state,-1270931914.0312154,1004721676.4753215,2275653590.506537
X_0,frequency level of Little Socket,-409689787.8515822,446659667.9972804,856349455.8488626
X_5,frequency level of Big Socket,-150348349.53092104,297787260.6526166,448135610.18353766


 Ordered by absolute difference, between kernel ridge, and linear coefficients, the first has the maximum non linearity variation  
X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_4,Core 3 state,-3245652712.554738,2448315523.772614,5693968236.327353
X_9,Core 7 state,-2976008929.187396,2687815918.026165,5663824847.213561
X_7,Core 5 state,-2843271508.827311,2226591565.268679,5069863074.09599
X_6,Core 4 state,-2369147979.0747814,2233420992.879535,4602568971.954317
X_8,Core 6 state,-2239005635.29848,1806750196.2093525,4045755831.5078325
X_3,Core 2 state,-1472399090.3438091,1158351784.8822968,2630750875.2261057
X_2,Core 1 state,-1119437208.682456,1187964289.4798267,2307401498.162283
X_1,Core 0 state,-1270931914.0312154,1004721676.4753215,2275653590.506537
X_0,frequency level of Little Socket,-409689787.8515822,446659667.9972804,856349455.8488626
X_5,frequency level of Big Socket,-150348349.53092104,297787260.6526166,448135610.18353766
