Variable,meaning ,d_X_0 (Variation relative to frequency level of Little Socket),asolute d_X_0
X_0,frequency level of Little Socket,1184954421.7317274,1184954421.7317274
X_1,Core 0 state,-725209506.7204373,725209506.7204373
X_2,Core 1 state,-468343190.6391481,468343190.6391481
X_3,Core 2 state,-471587969.43399876,471587969.43399876
X_4,Core 3 state,-1574227797.5100882,1574227797.5100882
X_5,frequency level of Big Socket,73248230.03135824,73248230.03135824
X_6,Core 4 state,-278837827.37372005,278837827.37372005
X_7,Core 5 state,-183508237.98345762,183508237.98345762
X_8,Core 6 state,487010594.9712212,487010594.9712212
X_9,Core 7 state,33092802.302408934,33092802.302408934


 Ordered by value of coefficient, the first has the best positive interaction, with frequency level of Little Socket 
 Variable,meaning ,d_X_0 (Variation relative to frequency level of Little Socket),asolute d_X_0
X_0,frequency level of Little Socket,1184954421.7317274,1184954421.7317274
X_8,Core 6 state,487010594.9712212,487010594.9712212
X_5,frequency level of Big Socket,73248230.03135824,73248230.03135824
X_9,Core 7 state,33092802.302408934,33092802.302408934
X_7,Core 5 state,-183508237.98345762,183508237.98345762
X_6,Core 4 state,-278837827.37372005,278837827.37372005
X_2,Core 1 state,-468343190.6391481,468343190.6391481
X_3,Core 2 state,-471587969.43399876,471587969.43399876
X_1,Core 0 state,-725209506.7204373,725209506.7204373
X_4,Core 3 state,-1574227797.5100882,1574227797.5100882


 Ordered by absolute value of coefficients,  the first has the best absolute interaction, with frequency level of Little Socket  
 Variable,meaning ,d_X_0 (Variation relative to frequency level of Little Socket),asolute d_X_0
X_4,Core 3 state,-1574227797.5100882,1574227797.5100882
X_0,frequency level of Little Socket,1184954421.7317274,1184954421.7317274
X_1,Core 0 state,-725209506.7204373,725209506.7204373
X_8,Core 6 state,487010594.9712212,487010594.9712212
X_3,Core 2 state,-471587969.43399876,471587969.43399876
X_2,Core 1 state,-468343190.6391481,468343190.6391481
X_6,Core 4 state,-278837827.37372005,278837827.37372005
X_7,Core 5 state,-183508237.98345762,183508237.98345762
X_5,frequency level of Big Socket,73248230.03135824,73248230.03135824
X_9,Core 7 state,33092802.302408934,33092802.302408934
