X_0,X_1,X_2,X_3,X_4,X_5,X_6,X_7,X_8,y
0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,10829988671.831848
0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,11271402985.343796
0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,11835117871.856445
0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,11115693246.882881
0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,7744553642.650806
0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,14014690198.265823
2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,12835751160.993692
1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,15072476000.850086
1.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,15103367446.80594
0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,14193154641.516396
2.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,2.0,13704431053.692589
1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,3.0,13904280154.559978
2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,11958775708.378078
2.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,12422190504.229136
1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0,13244489299.11487
2.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,3.0,14498805298.443407
1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,14878826834.261774
0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,13184350176.340683
2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,14515768479.29906
0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,15148485454.424267
1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,11563514337.02325
2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1619850293.4358807
1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,15227537478.77662
2.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0,12714137867.025375
0.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.0,13712530510.380384
0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,14204444570.706173
